rank,school,conf,astcoach,schoolpay,totalpay,maxbonus,stafftotal,buyout,category,complete,proportion
940,Buffalo,MAC,Alan Hensell,60000.0,60000.0,20000.0,909040.0,nan,Others,yes,0.0660036962069876
941,Western Kentucky,C-USA,Jami DeBerry,60000.0,60000.0,0.0,1200012.0,nan,Others,yes,0.04999950000499995
942,Florida Atlantic,C-USA,Clint Trickett,60000.0,60000.0,2500.0,1260000.0,nan,Others,yes,0.047619047619047616
943,Old Dominion,C-USA,Sam Perryman,56950.0,59950.0,0.0,1109566.0,nan,Others,yes,0.051326374456318956
944,Idaho,Sun Belt,Bobby Daly,57970.0,57970.0,0.0,789402.0,nan,Others,yes,0.07343533459504789
945,Old Dominion,C-USA,Arick Forest,56950.0,57950.0,0.0,1109566.0,nan,Others,yes,0.051326374456318956
946,Buffalo,MAC,Taiwo Onatolu,55000.0,55000.0,18334.0,909040.0,nan,Others,yes,0.060503388189738626
947,Louisiana-Lafayette,Sun Belt,Michael Desormeaux,55000.0,55000.0,0.0,1104480.0,nan,Others,yes,0.0497971896276981
948,Massachusetts,Ind.,Steve Costello,54354.0,54354.0,8030.0,897089.0,nan,Others,yes,0.06058930607776932
949,Kent State,MAC,O.J. Santiago,54246.0,54246.0,0.0,711904.0,nan,Others,yes,0.07619847619903808
950,Kent State,MAC,Joe Tresey,51000.0,51000.0,0.0,711904.0,nan,Others,yes,0.07163887265698746
951,Alabama at Birmingham,C-USA,Kyle Tatum,51000.0,51000.0,4250.0,989750.0,nan,Others,yes,0.05152816367769639
952,Western Kentucky,C-USA,Maurice Crum,50004.0,50004.0,0.0,1200012.0,nan,Others,yes,0.04166958330416696
953,Florida,SEC,Robb Akey,50000.0,50000.0,16667.0,4997825.0,nan,Power Five,yes,0.010004351893073487
954,Georgia Southern,Sun Belt,Pat Bastien,50000.0,50000.0,16000.0,1007500.0,nan,Others,yes,0.04962779156327544
955,Southern Mississippi,C-USA,Shannon Dawson,50000.0,50000.0,4167.0,820000.0,nan,Others,yes,0.06097560975609756
956,Middle Tennessee,C-USA,Siriki Diabate,50000.0,50000.0,0.0,1188296.0,nan,Others,yes,0.04207705824138094
957,Middle Tennessee,C-USA,Austin Silvoy,50000.0,50000.0,0.0,1188296.0,nan,Others,yes,0.04207705824138094
958,New Mexico State,Sun Belt,Kai Brown,0.0,0.0,0.0,702501.0,nan,Others,yes,0.0
959,Texas Christian,Big 12,Jarrett Anderson,,,,,nan,Power Five,yes,
960,Texas Christian,Big 12,Rusty Burns,,,,,nan,Power Five,yes,
961,Wake Forest,ACC,John Hunter,,,,,nan,Power Five,yes,
962,Wake Forest,ACC,Wayne Lineburg,,,,,nan,Power Five,yes,
963,Wake Forest,ACC,Warren Ruggiero,,,,,nan,Power Five,yes,
964,Rice,C-USA,Darrell Patterson,,,,,nan,Others,yes,
965,Brigham Young,Ind.,Ben Cahoon,,,,,nan,Others,yes,
966,Brigham Young,Ind.,Ty Detmer,,,,,nan,Others,yes,
967,Brigham Young,Ind.,Mike Empey,,,,,nan,Others,yes,
968,Brigham Young,Ind.,Jernaro Gilford,,,,,nan,Others,yes,
969,Brigham Young,Ind.,Reno Mahe,,,,,nan,Others,yes,
970,Brigham Young,Ind.,Steve Clark,,,,,nan,Others,yes,
971,Brigham Young,Ind.,Ed Lamb,,,,,nan,Others,yes,
972,Penn State,Big Ten,Josh Gattis,,,,,nan,Power Five,yes,
973,Penn State,Big Ten,Charles Huff,,,,,nan,Power Five,yes,
