rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
511,Air Force,Mt. West,Ron Vanderlinden,187000.0,0.0,187000.0,56100.0,1518000.0,Others,yes,0.12318840579710146
512,New Mexico,Mt. West,Kevin Cosgrove,186500.0,385.0,186885.0,0.0,1363070.0,Others,yes,0.13682349402451818
513,Virginia Tech,ACC,Zohn Burden,185500.0,,185500.0,45000.0,3257690.0,Power Five,yes,0.05694218909718236
514,Illinois,Big Ten,Al Seamonson,185400.0,0.0,185400.0,37080.0,2011208.0,Power Five,yes,0.09218340420284725
515,Oregon State,Pac-12,Kevin McGiven,185004.0,,185004.0,75277.0,2640300.0,Power Five,yes,0.07006931030564709
516,Colorado State,Mt. West,Ricky Logo,185000.0,,185000.0,36389.0,1961482.0,Others,yes,0.09431644032420385
517,North Texas,C-USA,Chris Cosh,185000.0,,185000.0,15417.0,1158150.0,Others,yes,0.15973751241203643
518,Texas Tech,Big 12,Darrin Chiaverini,180000.0,3600.0,183600.0,45000.0,2336600.0,Power Five,yes,0.07703500813147308
519,Indiana,Big Ten,Larry McDaniel,183070.0,,183070.0,62777.0,2317478.0,Power Five,yes,0.07899535615872082
520,Middle Tennessee,C-USA,Buster Faulkner,180000.0,3000.0,183000.0,22500.0,1166061.0,Others,yes,0.15436585221527863
521,Texas-El Paso,C-USA,Spencer Leftwich,182225.0,0.0,182225.0,70408.0,1191241.0,Others,yes,0.15297072548711804
522,Arkansas State,Sun Belt,Joe Cauthen,180000.0,2000.0,182000.0,15000.0,1183000.0,Others,yes,0.1521555367709214
523,Boise State,Mt. West,Julius Brown,180012.0,1000.0,181012.0,15751.0,2129132.0,Others,yes,0.08454713000415193
524,Colorado,Pac-12,Charles Clark,180285.0,0.0,180285.0,34670.0,2748052.0,Power Five,yes,0.06560465376928822
525,Oregon State,Pac-12,Brent Brennan,180264.0,,180264.0,74487.0,2640300.0,Power Five,yes,0.06827405976593569
526,San Diego State,Mt. West,Tony White,177228.0,3000.0,180228.0,52396.0,1530932.0,Others,yes,0.11576477596653542
527,Illinois,Big Ten,Mike Bellamy,180000.0,0.0,180000.0,36000.0,2011208.0,Power Five,yes,0.08949845068237597
