rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
55,Iowa State,Big 12,Paul Rhoads,1800000.0,8025.0,1808025.0,1050000.0,2110900.0,Power Five,yes,0.8527168506324316
56,California,PAC-12,Sonny Dykes,1800000.0,8000.0,1808000.0,304000.0,2081600.0,Power Five,yes,0.8647194465795542
57,North Carolina State,ACC,Dave Doeren,1800000.0,,1800000.0,1000000.0,2692560.0,Power Five,yes,0.6685087797486406
58,Central Florida,AAC,George O'Leary,1800000.0,0.0,1800000.0,750000.0,1831614.0,Others,yes,0.9827398130828876
59,Pittsburgh,ACC,Paul Chryst,1578757.0,,1578757.0,,,Power Five,yes,
60,Navy,Ind.,Ken Niumatalolo,1574810.0,,1574810.0,,,Others,yes,
61,Oregon State,PAC-12,Mike Riley,1510008.0,,1510008.0,369000.0,2347200.0,Power Five,yes,0.643323108384458
62,Connecticut,AAC,Bob Diaco,1500000.0,,1500000.0,450000.0,1858000.0,Others,yes,0.8073196986006459
63,Colorado State,Mt. West,Jim McElwain,1500000.0,,1500000.0,150000.0,1627493.0,Others,yes,0.921662950316837
64,Notre Dame,Ind.,Brian Kelly,1457284.0,,1457284.0,,,Others,yes,
65,Fresno State,Mt. West,Tim DeRuyter,1400000.0,35000.0,1435000.0,1685000.0,1277508.0,Others,yes,1.0958835482830636
66,Indiana,Big Ten,Kevin Wilson,1301644.0,,1301644.0,1130000.0,2224500.0,Power Five,yes,0.5851400314677455
67,East Carolina,AAC,Ruffin McNeill,1250000.0,2500.0,1252500.0,550000.0,1419450.0,Others,yes,0.8806227764274895
68,South Florida,AAC,Willie Taggart,1150000.0,32000.0,1182000.0,650000.0,1860400.0,Others,yes,0.6181466351322297
69,Houston,AAC,Tony Levine,1025000.0,300.0,1025300.0,422500.0,1820000.0,Others,yes,0.5631868131868132
70,Memphis,AAC,Justin Fuente,1006779.0,0.0,1006779.0,725000.0,2043178.0,Others,yes,0.4927514881229144
71,Louisiana-Lafayette,Sun Belt,Mark Hudspeth,1000000.0,3156.0,1003156.0,155000.0,1064500.0,Others,yes,0.9394081728511038
72,Boise State,Mt. West,Bryan Harsin,1000004.0,,1000004.0,400000.0,2052650.0,Others,yes,0.48717706379558134
73,Rutgers,Big Ten,Kyle Flood,975000.0,12000.0,987000.0,350000.0,2445200.0,Power Five,yes,0.3987403893342058
74,Air Force,Mt. West,Troy Calhoun,866250.0,26500.0,892750.0,247500.0,1467500.0,Others,yes,0.590289608177172
75,Tulane,AAC,Curtis Johnson,867000.0,,867000.0,,,Others,yes,
76,Nevada-Las Vegas,Mt. West,Bobby Hauck,850000.0,0.0,850000.0,285000.0,1197392.0,Others,yes,0.7098761307909189
77,Army,Ind.,Jeff Monken,834667.0,,834667.0,256000.0,2326450.0,Others,yes,0.358772808356079
78,Wyoming,Mt. West,Craig Bohl,832000.0,0.0,832000.0,330000.0,1320726.0,Others,yes,0.6299565541982213
79,Middle Tennessee State,CUSA,Rick Stockstill,801504.0,1625.0,803129.0,126142.0,1131886.0,Others,yes,0.7081137146320389
80,San Diego State,Mt. West,Rocky Long,800000.0,2000.0,802000.0,855000.0,1428414.0,Others,yes,0.5600617188014119
81,New Mexico,Mt. West,Bob Davie,772690.0,11000.0,783690.0,480000.0,1363775.0,Others,yes,0.5665817308573629
82,Rice,CUSA,David Bailiff,780243.0,,780243.0,,,Others,yes,
83,Tulsa,AAC,Bill Blankenship,759436.0,,759436.0,,308295.0,Others,no,2.463341928996578
84,North Texas,CUSA,Dan McCarney,710000.0,1600.0,711600.0,945000.0,1148300.0,Others,yes,0.6183053209091701
85,Arkansas State,Sun Belt,Blake Anderson,700000.0,,700000.0,235000.0,1011800.0,Others,yes,0.6918363312907689
86,Southern Mississippi,CUSA,Todd Monken,700000.0,0.0,700000.0,125000.0,1025000.0,Others,yes,0.6829268292682927
87,Hawaii,Mt. West,Norm Chow,550000.0,70500.0,620500.0,1180000.0,,Others,yes,
88,Marshall,CUSA,Doc Holliday,607070.0,2750.0,609820.0,115000.0,1056938.0,Others,yes,0.5743667083594307
89,Western Kentucky,CUSA,Jeff Brohm,600000.0,,600000.0,550000.0,978480.0,Others,yes,0.613195977434388
90,Utah State,Mt. West,Matt Wells,575000.0,1434.0,576434.0,765000.0,1092647.0,Others,yes,0.5262449812244943
91,Nevada,Mt. West,Brian Polian,575000.0,0.0,575000.0,250000.0,1145484.0,Others,yes,0.5019712191527773
92,Ohio,MAC,Frank Solich,553000.0,1500.0,554500.0,327000.0,898974.0,Others,yes,0.6151457105544765
93,Florida International,CUSA,Ron Turner,550000.0,1000.0,551000.0,150000.0,1065400.0,Others,yes,0.5162380326637882
94,San Jose State,Mt. West,Ron Caragher,525000.0,0.0,525000.0,195000.0,1073992.0,Others,yes,0.4888304568376673
95,Troy,Sun Belt,Larry Blakeney,518788.0,0.0,518788.0,77500.0,908985.0,Others,yes,0.5707332904283349
96,Louisiana Tech,CUSA,Skip Holtz,500000.0,10000.0,510000.0,295000.0,999700.0,Others,yes,0.500150045013504
97,Georgia State,Sun Belt,Trent Miles,510000.0,,510000.0,381500.0,922800.0,Others,yes,0.552665799739922
98,Texas-El Paso,CUSA,Sean Kugler,503864.0,4500.0,508364.0,478481.0,1167375.0,Others,yes,0.4316213727379805
99,Ball State,MAC,Pete Lembo,500000.0,3500.0,503500.0,450000.0,883900.0,Others,yes,0.5656748500961647
100,Florida Atlantic,CUSA,Charlie Partridge,500000.0,,500000.0,100000.0,820600.0,Others,yes,0.6093102607847917
101,Alabama at Birmingham,CUSA,Bill Clark,500000.0,,500000.0,430000.0,1011000.0,Others,yes,0.49455984174085066
102,Old Dominion,CUSA,Bobby Wilder,475000.0,11010.0,486010.0,503333.0,919640.0,Others,yes,0.5165064590491931
103,Toledo,MAC,Matt Campbell,470500.0,12037.0,482537.0,450000.0,848210.0,Others,yes,0.5546975395244103
104,South Alabama,Sun Belt,Joey Jones,435000.0,36000.0,471000.0,171000.0,873230.0,Others,yes,0.498150544530078
105,Miami (Ohio),MAC,Chuck Martin,450000.0,,450000.0,462243.0,810000.0,Others,yes,0.5555555555555556
106,Massachusetts,MAC,Mark Whipple,450000.0,,450000.0,200000.0,829933.0,Others,yes,0.5422124436550902
107,Eastern Michigan,MAC,Chris Creighton,425000.0,,425000.0,310000.0,825000.0,Others,yes,0.5151515151515151
108,Akron,MAC,Terry Bowden,406000.0,,406000.0,255000.0,910520.0,Others,yes,0.4458990466985898
109,Bowling Green,MAC,Dino Babers,405000.0,0.0,405000.0,130000.0,815000.0,Others,yes,0.49693251533742333
110,Texas-San Antonio,CUSA,Larry Coker,400000.0,2150.0,402150.0,230000.0,786175.0,Others,yes,0.5087925716284543
111,Northern Illinois,MAC,Rod Carey,400000.0,1500.0,401500.0,205000.0,915018.0,Others,yes,0.437149870275776
112,Texas State,Sun Belt,Dennis Franchione,400000.0,1200.0,401200.0,232500.0,807988.0,Others,yes,0.4950568572800586
113,Idaho,Sun Belt,Paul Petrino,400011.0,0.0,400011.0,152000.0,699088.0,Others,yes,0.5721897672396036
114,Georgia Southern,Sun Belt,Willie Fritz,400000.0,,400000.0,42500.0,786500.0,Others,yes,0.5085823267641449
115,Western Michigan,MAC,P.J. Fleck,392500.0,,392500.0,236000.0,804500.0,Others,yes,0.48788067122436296
116,Kent State,MAC,Paul Haynes,382500.0,1200.0,383700.0,336000.0,707345.0,Others,yes,0.5407545115891114
117,Buffalo,MAC,Jeff Quinn,380210.0,0.0,380210.0,470000.0,841896.0,Others,yes,0.45161160048272
118,New Mexico State,Sun Belt,Doug Martin,376044.0,1000.0,377044.0,185000.0,757090.0,Others,yes,0.4966965618354489
119,Central Michigan,MAC,Dan Enos,360000.0,0.0,360000.0,305000.0,818015.0,Others,yes,0.44008972940594
120,Louisiana-Monroe,Sun Belt,Todd Berry,357000.0,1250.0,358250.0,47500.0,724300.0,Others,yes,0.49288968659395277
121,Appalachian State,Sun Belt,Scott Satterfield,225000.0,,225000.0,25000.0,823000.0,Others,yes,0.2733900364520049
122,Temple,AAC,Matt Rhule,,,,,,Others,yes,
123,Syracuse,ACC,Scott Shafer,,,,,,Power Five,yes,
124,Vanderbilt,SEC,Derek Mason,,,,,,Power Five,yes,
125,Boston College,ACC,Steve Addazio,,,,,,Power Five,yes,
126,Southern California,PAC-12,Steve Sarkisian,,,,,,Power Five,yes,
127,Brigham Young,Ind.,Bronco Mendenhall,,,,,,Others,yes,
128,Wake Forest,ACC,Dave Clawson,,,,,,Power Five,yes,
