rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,bonusespaid,stafftotal,category
96,Ohio,MAC,Frank Solich,562760.0,1500.0,564260.0,329440.0,0.0,898290.0,Others
97,South Alabama,Sun Belt,Joey Jones,525000.0,35500.0,560500.0,211025.0,31438.0,1135459.0,Others
98,Nevada-Las Vegas,Mt. West,Tony Sanchez,560000.0,,560000.0,175000.0,,1415799.0,Others
99,San Jose State,Mt. West,Ron Caragher,540745.0,30.0,540775.0,195000.0,5000.0,1073832.0,Others
100,Central Michigan,MAC,John Bonamego,533500.0,,533500.0,330000.0,,863380.0,Others
101,Georgia State,Sun Belt,Trent Miles,523500.0,4000.0,527500.0,362500.0,9500.0,950700.0,Others
102,Florida Atlantic,C-USA,Charlie Partridge,525000.0,500.0,525500.0,100000.0,0.0,846050.0,Others
103,Ball State,MAC,Pete Lembo,514250.0,3500.0,517750.0,460000.0,2500.0,910300.0,Others
104,Louisiana Tech,C-USA,Skip Holtz,500000.0,17000.0,517000.0,295000.0,25000.0,1066503.0,Others
105,Texas-El Paso,C-USA,Sean Kugler,509541.0,4500.0,514041.0,486052.0,75044.0,1191241.0,Others
106,Georgia Southern,Sun Belt,Willie Fritz,500000.0,0.0,500000.0,287500.0,35000.0,930450.0,Others
107,Toledo,MAC,Matt Campbell,495000.0,1450.0,496450.0,450000.0,137500.0,886297.0,Others
108,Massachusetts,MAC,Mark Whipple,450000.0,6000.0,456000.0,200000.0,0.0,832930.0,Others
109,Miami (Ohio),MAC,Chuck Martin,450000.0,0.0,450000.0,482493.0,20250.0,863310.0,Others
110,Texas-San Antonio,C-USA,Larry Coker,425000.0,2150.0,427150.0,255000.0,0.0,808681.0,Others
111,Texas State,Sun Belt,Dennis Franchione,425000.0,2000.0,427000.0,232500.0,7500.0,832300.0,Others
112,Eastern Michigan,MAC,Chris Creighton,425000.0,0.0,425000.0,310000.0,0.0,864676.0,Others
113,Idaho,Sun Belt,Paul Petrino,413526.0,5000.0,418526.0,152000.0,5000.0,747637.0,Others
114,Bowling Green,MAC,Dino Babers,413000.0,0.0,413000.0,245000.0,107500.0,807112.0,Others
115,Akron,MAC,Terry Bowden,406000.0,1500.0,407500.0,255000.0,10000.0,934220.0,Others
116,Northern Illinois,MAC,Rod Carey,400000.0,1500.0,401500.0,205000.0,77500.0,885020.0,Others
117,Buffalo,MAC,Lance Leipold,400000.0,,400000.0,380000.0,,928540.0,Others
118,Kent State,MAC,Paul Haynes,390150.0,2200.0,392350.0,173000.0,1000.0,718436.0,Others
119,New Mexico State,Sun Belt,Doug Martin,376044.0,1000.0,377044.0,135000.0,0.0,646883.0,Others
120,Appalachian State,Sun Belt,Scott Satterfield,375000.0,0.0,375000.0,165000.0,27500.0,936500.0,Others
121,Louisiana-Monroe,Sun Belt,Todd Berry,360000.0,600.0,360600.0,47500.0,0.0,683050.0,Others
122,Southern California,Pac-12,Steve Sarkisian,,,,,,,Power Five
123,Brigham Young,Ind.,Bronco Mendenhall,,,,,,,Others
124,Wake Forest,ACC,Dave Clawson,,,,,,,Power Five
125,Vanderbilt,SEC,Derek Mason,,,,,,,Power Five
126,Tulsa,AAC,Philip Montgomery,,,,,,,Others
127,Pittsburgh,ACC,Pat Narduzzi,,,,,,,Power Five
128,Southern Methodist,AAC,Chad Morris,,,,,,,Others
