rank,school,conf,asscoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
764,Akron,MAC,Jeff Bowden,96900.0,0.0,96900.0,21706.0,934220.0,Others
765,Marshall,C-USA,J.C. Price,94500.0,1450.0,95950.0,15750.0,1141476.0,Others
766,Marshall,C-USA,Sean Cronin,94500.0,1450.0,95950.0,15750.0,1141476.0,Others
767,Northern Illinois,MAC,Brett Diersen,95004.0,0.0,95004.0,24834.0,885020.0,Others
768,Louisiana-Lafayette,Sun Belt,Marquase Lovings,95000.0,0.0,95000.0,0.0,1040000.0,Others
769,Central Michigan,MAC,Mose Rison,95000.0,0.0,95000.0,0.0,863380.0,Others
770,Western Michigan,MAC,Mike Hart,95000.0,0.0,95000.0,5000.0,1037500.0,Others
771,Western Michigan,MAC,Vinson Reynolds,95000.0,0.0,95000.0,5000.0,1037500.0,Others
772,Bowling Green,MAC,Sean Lewis,95000.0,0.0,95000.0,7000.0,807112.0,Others
773,Bowling Green,MAC,Mike Lynch,95000.0,0.0,95000.0,7000.0,807112.0,Others
774,Buffalo,MAC,Chris Simpson,95000.0,,95000.0,0.0,928540.0,Others
775,Florida Atlantic,C-USA,Bart Miller,90000.0,4000.0,94000.0,0.0,846050.0,Others
776,North Texas,C-USA,Kevin Patrick,93800.0,0.0,93800.0,7750.0,1158150.0,Others
777,Middle Tennessee,C-USA,Rick Mallory,90000.0,3000.0,93000.0,11250.0,1166061.0,Others
778,Fresno State,Mt. West,Jordan Peterson,92700.0,0.0,92700.0,0.0,1391242.0,Others
779,Utah State,Mt. West,Joe Lorig,92156.0,0.0,92156.0,7680.0,1162973.0,Others
780,Central Michigan,MAC,Derek Frazier,92150.0,0.0,92150.0,0.0,863380.0,Others
781,Central Michigan,MAC,Mike Dietzel,92150.0,0.0,92150.0,0.0,863380.0,Others
782,Arkansas State,Sun Belt,Dan Dodd,90000.0,2000.0,92000.0,7500.0,1183000.0,Others
783,Arkansas State,Sun Belt,Allen Johnson,90000.0,2000.0,92000.0,7500.0,1183000.0,Others
784,Arkansas State,Sun Belt,Brian Early,90000.0,2000.0,92000.0,7500.0,1183000.0,Others
785,Arkansas State,Sun Belt,Anthony Tucker,90000.0,2000.0,92000.0,7500.0,1183000.0,Others
786,Troy,Sun Belt,Al Pogue,91800.0,,91800.0,11475.0,1198233.0,Others
787,Akron,MAC,A.J. Milwee,91800.0,0.0,91800.0,20856.0,934220.0,Others
788,Akron,MAC,Michael Woodford,91800.0,0.0,91800.0,20856.0,934220.0,Others
789,Buffalo,MAC,Matt Simon,91540.0,,91540.0,0.0,928540.0,Others
790,Louisiana Tech,C-USA,Joe Sloan,90000.0,1503.0,91503.0,0.0,1066503.0,Others
791,Marshall,C-USA,Mike Furrey,90000.0,1450.0,91450.0,15000.0,1141476.0,Others
792,Louisiana Tech,C-USA,Tim Rattay,90000.0,1000.0,91000.0,0.0,1066503.0,Others
793,Toledo,MAC,Tom Manning,90678.0,320.0,90998.0,0.0,886297.0,Others
794,Bowling Green,MAC,Nick Monroe,90600.0,0.0,90600.0,7000.0,807112.0,Others
795,Texas-San Antonio,C-USA,Perry Eliano,89250.0,1300.0,90550.0,2000.0,808681.0,Others
796,Nevada,Mt. West,Cheston Blackshear,90500.0,0.0,90500.0,3750.0,1249500.0,Others
797,Ball State,MAC,Shannon Morrison,89000.0,1350.0,90350.0,0.0,910300.0,Others
798,Central Michigan,MAC,George Ricumstrict,90000.0,0.0,90000.0,0.0,863380.0,Others
799,Southern Mississippi,C-USA,Lytrel Pollard,90000.0,0.0,90000.0,7500.0,1055000.0,Others
800,Western Michigan,MAC,Brian Callahan,90000.0,0.0,90000.0,5000.0,1037500.0,Others
801,Appalachian State,Sun Belt,Stu Holt,90000.0,,90000.0,20000.0,936500.0,Others
802,Eastern Michigan,MAC,Aaron Keen,90000.0,0.0,90000.0,0.0,864676.0,Others
803,New Mexico,Mt. West,Clay Davie,90000.0,,90000.0,0.0,1363070.0,Others
804,Florida International,C-USA,Tim Harris Jr.,90000.0,0.0,90000.0,12500.0,1077200.0,Others
805,Louisiana-Lafayette,Sun Belt,Levorn Harbin,90000.0,,90000.0,0.0,1040000.0,Others
806,Old Dominion,C-USA,Bill Dee,86700.0,2950.0,89650.0,0.0,1062738.0,Others
807,Wyoming,Mt. West,Mike Bath,88008.0,1300.0,89308.0,7334.0,1224315.0,Others
808,Ohio,MAC,Brian Haines,87848.0,1400.0,89248.0,0.0,898290.0,Others
809,Ohio,MAC,Jesse Williams,88889.0,0.0,88889.0,0.0,898290.0,Others
810,Massachusetts,MAC,Shane Waldron,87996.0,800.0,88796.0,0.0,832930.0,Others
811,Northern Illinois,MAC,Thaddeus Ward,88002.0,0.0,88002.0,23834.0,885020.0,Others
812,Northern Illinois,MAC,Joe Tripodi,88002.0,0.0,88002.0,23834.0,885020.0,Others
813,Marshall,C-USA,Todd Goebbel,87500.0,,87500.0,14583.0,1141476.0,Others
814,Western Kentucky,C-USA,Ken Delgado,85008.0,2000.0,87008.0,0.0,1054792.0,Others
815,Northern Illinois,MAC,Craig Harmon,82002.0,5000.0,87002.0,22500.0,885020.0,Others
816,Troy,Sun Belt,Sean Reagan,87000.0,0.0,87000.0,10875.0,1198233.0,Others
817,Eastern Michigan,MAC,Jimmy Williams,86700.0,0.0,86700.0,0.0,864676.0,Others
818,Eastern Michigan,MAC,Todd Frakes,86700.0,0.0,86700.0,0.0,864676.0,Others
819,Eastern Michigan,MAC,Ryan Grubb,86700.0,0.0,86700.0,0.0,864676.0,Others
820,Miami (Ohio),MAC,Bill Brechin,86000.0,0.0,86000.0,0.0,863310.0,Others
821,Ball State,MAC,Nick Siatras,85000.0,950.0,85950.0,0.0,910300.0,Others
822,Ohio,MAC,Dave Johnson,85752.0,0.0,85752.0,0.0,898290.0,Others
823,Texas State,Sun Belt,Brad Franchione,84000.0,1500.0,85500.0,0.0,832300.0,Others
824,Ball State,MAC,Alex Bailey,85000.0,200.0,85200.0,0.0,910300.0,Others
825,South Alabama,Sun Belt,Tracy Buckhannon,85000.0,,85000.0,13167.0,1135459.0,Others
826,Buffalo,MAC,D.J. Vokolek,85000.0,,85000.0,0.0,928540.0,Others
827,Bowling Green,MAC,Tom Freeman,85000.0,0.0,85000.0,7000.0,807112.0,Others
828,Georgia Southern,Sun Belt,Dell McGee,85000.0,0.0,85000.0,14500.0,930450.0,Others
829,Troy,Sun Belt,Bam Hardmon,85000.0,,85000.0,10625.0,1198233.0,Others
830,Akron,MAC,Otis Mounds,85000.0,0.0,85000.0,19723.0,934220.0,Others
831,UCLA,Pac-12,Scott White,85000.0,0.0,85000.0,100000.0,3969000.0,Power Five
832,Southern Mississippi,C-USA,Justin Roberts,85000.0,,85000.0,0.0,1055000.0,Others
833,Miami (Ohio),MAC,Joe Palcic,84660.0,0.0,84660.0,0.0,863310.0,Others
834,Florida Atlantic,C-USA,Terrance Jamison,80000.0,4450.0,84450.0,0.0,846050.0,Others
835,Ball State,MAC,Daryl Dixon,83000.0,1350.0,84350.0,0.0,910300.0,Others
836,Toledo,MAC,Eli Rasheed,83742.0,450.0,84192.0,0.0,886297.0,Others
837,Toledo,MAC,Anthony Johnson,83742.0,,83742.0,0.0,886297.0,Others
838,Toledo,MAC,Derek Sage,83742.0,,83742.0,0.0,886297.0,Others
839,Charlotte,C-USA,Phil Ratliff,83425.0,,83425.0,0.0,647025.0,Others
840,Illinois,Big Ten,Nathan Scheelhaase,83333.0,,83333.0,10000.0,2011208.0,Power Five
841,Eastern Michigan,MAC,Herb Haygood,83000.0,0.0,83000.0,0.0,864676.0,Others
842,Middle Tennessee,C-USA,Tommy West,80000.0,3000.0,83000.0,10000.0,1166061.0,Others
843,Georgia Southern,Sun Belt,Chad Lunsford,80000.0,2550.0,82550.0,14500.0,930450.0,Others
844,Kent State,MAC,Shawn Clark,82154.0,0.0,82154.0,0.0,718436.0,Others
845,Buffalo,MAC,Tim Edwards,82000.0,,82000.0,0.0,928540.0,Others
846,Ohio,MAC,Dwayne Dixon,80153.0,1390.0,81543.0,0.0,898290.0,Others
847,Marshall,C-USA,Chris Barclay,80000.0,1450.0,81450.0,13333.0,1141476.0,Others
848,Central Michigan,MAC,Sherrone Moore,80930.0,0.0,80930.0,0.0,863380.0,Others
849,Illinois,Big Ten,Ryan Cubit,80650.0,0.0,80650.0,16130.0,2011208.0,Power Five
850,Texas-San Antonio,C-USA,Mike Markuson,80000.0,650.0,80650.0,2000.0,808681.0,Others
851,Massachusetts,MAC,Spencer Whipple,79530.0,1100.0,80630.0,11292.0,832930.0,Others
852,Toledo,MAC,Tyson Veidt,80621.0,,80621.0,0.0,886297.0,Others
853,Massachusetts,MAC,Liam Coen,79101.0,1000.0,80101.0,11458.0,832930.0,Others
854,Texas State,Sun Belt,Mike Hudson,78000.0,2100.0,80100.0,0.0,832300.0,Others
855,Louisiana-Monroe,Sun Belt,Travis Niekamp,80000.0,50.0,80050.0,3500.0,683050.0,Others
856,Northern Illinois,MAC,Ross Watson,80004.0,,80004.0,16500.0,885020.0,Others
857,Central Michigan,MAC,Gino Guidugli,80000.0,0.0,80000.0,0.0,863380.0,Others
858,Central Michigan,MAC,Archie Collins,80000.0,0.0,80000.0,0.0,863380.0,Others
859,Georgia Southern,Sun Belt,Matt Barrett,80000.0,0.0,80000.0,14500.0,930450.0,Others
860,Western Michigan,MAC,Rob Wenger,80000.0,0.0,80000.0,5000.0,1037500.0,Others
861,Troy,Sun Belt,Cornelius Williams,80000.0,,80000.0,10000.0,1198233.0,Others
862,Louisiana Tech,C-USA,Karl Scott,80000.0,0.0,80000.0,0.0,1066503.0,Others
863,Middle Tennessee,C-USA,Kodi Burns,80000.0,0.0,80000.0,10000.0,1166061.0,Others
864,Louisiana-Monroe,Sun Belt,Jason Nichols,80000.0,0.0,80000.0,3500.0,683050.0,Others
865,Western Michigan,MAC,Bill Kenney,80000.0,0.0,80000.0,5000.0,1037500.0,Others
866,Appalachian State,Sun Belt,Justin Watts,80000.0,,80000.0,17000.0,936500.0,Others
867,Louisiana-Lafayette,Sun Belt,Charlie Harbison,80000.0,,80000.0,0.0,1040000.0,Others
868,Florida Atlantic,C-USA,Chris Hurd,75000.0,4500.0,79500.0,0.0,846050.0,Others
869,Florida Atlantic,C-USA,Dan Shula,75000.0,4100.0,79100.0,0.0,846050.0,Others
870,Louisiana-Monroe,Sun Belt,John Mumford,79000.0,0.0,79000.0,3500.0,683050.0,Others
871,Toledo,MAC,Darrell McDonald,78540.0,450.0,78990.0,0.0,886297.0,Others
872,Idaho,Sun Belt,Jason Shumaker,78042.0,,78042.0,0.0,747637.0,Others
873,Northern Illinois,MAC,Kelvin Sigler,78000.0,0.0,78000.0,23000.0,885020.0,Others
874,Northern Illinois,MAC,Kelton Copeland,78000.0,0.0,78000.0,23000.0,885020.0,Others
875,Texas State,Sun Belt,Ashley Ambrose,78000.0,,78000.0,0.0,832300.0,Others
876,Texas-El Paso,C-USA,Andrew Browning,77675.0,0.0,77675.0,35559.0,1191241.0,Others
877,Miami (Ohio),MAC,John Hauser,77520.0,0.0,77520.0,0.0,863310.0,Others
878,Miami (Ohio),MAC,Corey Brown,77520.0,0.0,77520.0,0.0,863310.0,Others
879,Western Michigan,MAC,Matthew Simon,77500.0,0.0,77500.0,5000.0,1037500.0,Others
